"Notes","Disease","Disease Code","Year","Year Code","States","States Code",Case Count
,"Measles, Total","10140","2019","2019","Kansas","20",0
,"Measles, Total","10140","2019","2019","Kentucky","21",2
,"Measles, Total","10140","2019","2019","Louisiana","22",0
,"Measles, Total","10140","2019","2019","Maine","23",2
,"Measles, Total","10140","2019","2019","Maryland","24",5
,"Measles, Total","10140","2019","2019","Massachusetts","25",3
,"Measles, Total","10140","2019","2019","Michigan","26",46
,"Measles, Total","10140","2019","2019","Minnesota","27",0
,"Measles, Total","10140","2019","2019","Mississippi","28",0
,"Measles, Total","10140","2019","2019","Missouri","29",1
,"Measles, Total","10140","2019","2019","Montana","30",0
,"Measles, Total","10140","2019","2019","Nebraska","31",0
,"Measles, Total","10140","2019","2019","Nevada","32",0
,"Measles, Total","10140","2019","2019","New Hampshire","33",1
,"Measles, Total","10140","2019","2019","New Jersey","34",19
,"Measles, Total","10140","2019","2019","New Mexico","35",1
,"Measles, Total","10140","2019","2019","New York (excluding New York City)","36888",306
,"Measles, Total","10140","2019","2019","New York City","75772",605
,"Measles, Total","10140","2019","2019","North Carolina","37",0
,"Measles, Total","10140","2019","2019","North Dakota","38",0
,"Measles, Total","10140","2019","2019","Ohio","39",1
,"Measles, Total","10140","2019","2019","Oklahoma","40",4
,"Measles, Total","10140","2019","2019","Oregon","41",25
,"Measles, Total","10140","2019","2019","Pennsylvania","42",17
,"Measles, Total","10140","2019","2019","Rhode Island","44",0
,"Measles, Total","10140","2019","2019","South Carolina","45",1
,"Measles, Total","10140","2019","2019","South Dakota","46",0
,"Measles, Total","10140","2019","2019","Tennessee","47",5
,"Measles, Total","10140","2019","2019","Texas","48",22
,"Measles, Total","10140","2019","2019","Utah","49",0
,"Measles, Total","10140","2019","2019","Vermont","50",0
,"Measles, Total","10140","2019","2019","Virginia","51",2
,"Measles, Total","10140","2019","2019","Washington","53",90
,"Measles, Total","10140","2019","2019","West Virginia","54",0
,"Measles, Total","10140","2019","2019","Wisconsin","55",0
,"Measles, Total","10140","2019","2019","Wyoming","56",0
,"Measles, Total","10140","2019","2019","Territories","REGION10",0
,"Measles, Total","10140","2019","2019","American Samoa","60",0
,"Measles, Total","10140","2019","2019","Commonwealth of Northern Mariana Islands","69",0
,"Measles, Total","10140","2019","2019","Guam","66",0
,"Measles, Total","10140","2019","2019","Puerto Rico","72",0
,"Measles, Total","10140","2019","2019","U.S. Virgin Islands","78",0
,"Measles, Total","10140","2019","2019","Non-U.S. Residents","REGION11",Not Available
,"Measles, Total","10140","2020","2020","United States","U.S.",12
,"Measles, Total","10140","2020","2020","Alabama","01",0
,"Measles, Total","10140","2020","2020","Alaska","02",0
,"Measles, Total","10140","2020","2020","Arizona","04",0
,"Measles, Total","10140","2020","2020","Arkansas","05",0
,"Measles, Total","10140","2020","2020","California","06",5
,"Measles, Total","10140","2020","2020","Colorado","08",0
,"Measles, Total","10140","2020","2020","Connecticut","09",0
,"Measles, Total","10140","2020","2020","Delaware","10",0
,"Measles, Total","10140","2020","2020","District of Columbia","11",1
,"Measles, Total","10140","2020","2020","Florida","12",1
,"Measles, Total","10140","2020","2020","Georgia","13",1
,"Measles, Total","10140","2020","2020","Hawaii","15",1
,"Measles, Total","10140","2020","2020","Idaho","16",0
,"Measles, Total","10140","2020","2020","Illinois","17",0
,"Measles, Total","10140","2020","2020","Indiana","18",0
,"Measles, Total","10140","2020","2020","Iowa","19",0
,"Measles, Total","10140","2020","2020","Kansas","20",0
,"Measles, Total","10140","2020","2020","Kentucky","21",0
,"Measles, Total","10140","2020","2020","Louisiana","22",0
,"Measles, Total","10140","2020","2020","Maine","23",0
,"Measles, Total","10140","2020","2020","Maryland","24",0
,"Measles, Total","10140","2020","2020","Massachusetts","25",1
,"Measles, Total","10140","2020","2020","Michigan","26",0
,"Measles, Total","10140","2020","2020","Minnesota","27",0
,"Measles, Total","10140","2020","2020","Mississippi","28",0
,"Measles, Total","10140","2020","2020","Missouri","29",0
,"Measles, Total","10140","2020","2020","Montana","30",0
,"Measles, Total","10140","2020","2020","Nebraska","31",0
,"Measles, Total","10140","2020","2020","Nevada","32",0
,"Measles, Total","10140","2020","2020","New Hampshire","33",0
,"Measles, Total","10140","2020","2020","New Jersey","34",0
,"Measles, Total","10140","2020","2020","New Mexico","35",0
,"Measles, Total","10140","2020","2020","New York (excluding New York City)","36888",0
,"Measles, Total","10140","2020","2020","New York City","75772",0
,"Measles, Total","10140","2020","2020","North Carolina","37",0
,"Measles, Total","10140","2020","2020","North Dakota","38",0
,"Measles, Total","10140","2020","2020","Ohio","39",0
,"Measles, Total","10140","2020","2020","Oklahoma","40",0
,"Measles, Total","10140","2020","2020","Oregon","41",0
,"Measles, Total","10140","2020","2020","Pennsylvania","42",0
,"Measles, Total","10140","2020","2020","Rhode Island","44",0
,"Measles, Total","10140","2020","2020","South Carolina","45",0
,"Measles, Total","10140","2020","2020","South Dakota","46",0
,"Measles, Total","10140","2020","2020","Tennessee","47",0
,"Measles, Total","10140","2020","2020","Texas","48",0
,"Measles, Total","10140","2020","2020","Utah","49",0
,"Measles, Total","10140","2020","2020","Vermont","50",0
,"Measles, Total","10140","2020","2020","Virginia","51",1
,"Measles, Total","10140","2020","2020","Washington","53",1
,"Measles, Total","10140","2020","2020","West Virginia","54",0
,"Measles, Total","10140","2020","2020","Wisconsin","55",0
,"Measles, Total","10140","2020","2020","Wyoming","56",0
,"Measles, Total","10140","2020","2020","Territories","REGION10",0
,"Measles, Total","10140","2020","2020","American Samoa","60",0
,"Measles, Total","10140","2020","2020","Commonwealth of Northern Mariana Islands","69",0
,"Measles, Total","10140","2020","2020","Guam","66",0
,"Measles, Total","10140","2020","2020","Puerto Rico","72",0
,"Measles, Total","10140","2020","2020","U.S. Virgin Islands","78",0
,"Measles, Total","10140","2020","2020","Non-U.S. Residents","REGION11",0
,"Measles, Total","10140","2021","2021","United States","U.S.",48
,"Measles, Total","10140","2021","2021","Alabama","01",0
,"Measles, Total","10140","2021","2021","Alaska","02",0
,"Measles, Total","10140","2021","2021","Arizona","04",0
,"Measles, Total","10140","2021","2021","Arkansas","05",0
,"Measles, Total","10140","2021","2021","California","06",0
,"Measles, Total","10140","2021","2021","Colorado","08",0
,"Measles, Total","10140","2021","2021","Connecticut","09",2
,"Measles, Total","10140","2021","2021","Delaware","10",0
,"Measles, Total","10140","2021","2021","District of Columbia","11",0
,"Measles, Total","10140","2021","2021","Florida","12",0
,"Measles, Total","10140","2021","2021","Georgia","13",0
,"Measles, Total","10140","2021","2021","Hawaii","15",0
,"Measles, Total","10140","2021","2021","Idaho","16",0
,"Measles, Total","10140","2021","2021","Illinois","17",0
,"Measles, Total","10140","2021","2021","Indiana","18",0
,"Measles, Total","10140","2021","2021","Iowa","19",0
,"Measles, Total","10140","2021","2021","Kansas","20",0
,"Measles, Total","10140","2021","2021","Kentucky","21",0
,"Measles, Total","10140","2021","2021","Louisiana","22",0
,"Measles, Total","10140","2021","2021","Maine","23",0
,"Measles, Total","10140","2021","2021","Maryland","24",0
